,search_result,price
0,Apple iPhone X (64GB) - Silver,"73,999"
1,Apple iPhone 6s (32GB) - Space Gray,"27,999"
2,Apple iPhone 7 (32GB) - Black,"37,999"
3,Apple iPhone XR (128GB) - Black,"72,999"
4,Apple iPhone 6s (32GB) - Rose Gold,"27,999"
5,Apple iPhone XR (64GB) - White,"67,999"
6,Apple iPhone X (64GB) - Space Grey,"73,500"
7,Apple iPhone XR (64GB) - Black,"67,999"
8,Apple iPhone X (256GB) - Silver,"1,01,999"
9,Apple iPhone XR (64GB) RED,"67,999"
10,Apple iPhone XR (256GB) RED,"82,999"
11,Apple iPhone XR (64GB) - Blue,"67,999"
12,Apple iPhone XR (64GB) - Coral,"67,999"
13,Apple iPhone 6s (32GB) - Gold,"27,999"
14,"OnePlus 6T (Mirror Black, 6GB RAM, 128GB Storage)","37,999"
15,Apple iPhone XR (128GB) - White,"72,999"
16,Apple iPhone 8 (64GB) - Space Grey,"56,999"
17,Apple iPhone Xs (64GB) - Space Grey,"94,900"
18,Apple iPhone XR (64GB) - Yellow,"67,999"
19,Apple iPhone 7 Plus (32GB) - Gold,"48,999"
20,Apple iPhone XR (256GB) - Black,"82,999"
21,Apple iPhone XR (128GB) - Blue,"72,999"
22,Apple iPhone XR (128GB) - Coral,"72,999"
23,Apple iPhone XR (256GB) - White,"82,999"
24,"Apple iPhone 8 (Red, 64GB)","56,999"
25,Apple iPhone 6s (32GB) - Rose Gold,"27,999"
26,Apple iPhone Xs (64GB) - Silver,"94,900"
27,Apple iPhone Xs Max (64GB) - Gold,"1,04,900"
